"Ajdovšèina";1933;1567;441;101
"Apaèe";512;248;43;5
"Beltinci";949;744;132;18
"Benedikt";226;227;44;20
"Bistrica ob Sotli";163;118;31;4
"Bled";934;655;127;17
"Bloke";151;101;51;12
"Bohinj";596;379;121;28
"Borovnica";448;331;81;15
"Bovec";384;216;37;8
"Braslovèe";602;449;90;15
"Brda";628;549;85;8
"Brezovica";1195;957;263;53
"Brežice";2827;1859;299;56
"Cankova";240;154;25;3
"Celje";6006;3444;484;77
"Cerklje na Gorenjskem";621;669;178;50
"Cerknica";1094;919;246;45
"Cerkno";504;416;102;30
"Cerkvenjak";243;167;43;6
"Cirkulane";278;169;29;9
"Èrenšovci";481;363;62;18
"Èrna na Koroškem";390;201;36;11
"Èrnomelj";1596;1216;225;52
"Destrnik";317;228;35;4
"Divaèa";447;295;38;7
"Dobje";110;77;20;5
"Dobrepolje";334;307;124;36
"Dobrna";250;170;39;7
"Dobrova - Polhov Gradec";678;635;196;78
"Dobrovnik/Dobronak";166;100;21;4
"Dol pri Ljubljani";571;476;112;35
"Dolenjske Toplice";367;324;56;10
"Domžale";3545;3041;621;127
"Dornava";307;239;35;6
"Dravograd";1005;667;123;17
"Duplek";891;508;82;14
"Gorenja vas - Poljane";566;554;291;124
"Gorišnica";459;370;61;12
"Gorje";318;250;62;14
"Gornja Radgona";1066;635;91;21
"Gornji Grad";271;187;65;8
"Gornji Petrovci";286;145;20;8
"Grad";310;175;35;4
"Grosuplje";1773;1733;456;103
"Hajdina";488;267;45;11
"Hoèe - Slivnica";1402;761;102;30
"Hodoš/Hodos";33;26;1;3
"Horjul";253;229;81;36
"Hrastnik";1250;665;88;12
"Hrpelje - Kozina";534;333;51;2
"Idrija";1218;945;216;60
"Ig";712;595;122;22
"Ilirska Bistrica";1596;1201;148;19
"Ivanèna Gorica";1461;1303;418;100
"Izola/Isola";1936;1225;128;12
"Jesenice";2544;1689;259;48
"Jezersko";63;46;22;3
"Juršinci";270;214;42;10
"Kamnik";3049;2504;641;89
"Kanal";677;453;100;19
"Kidrièevo";802;538;77;9
"Kobarid";465;311;81;18
"Kobilje";71;49;14;0
"Koèevje";1943;1283;214;47
"Komen";400;300;53;5
"Komenda";556;480;153;25
"Koper/Capodistria";6518;4103;515;82
"Kostanjevica na Krki";295;211;40;8
"Kostel";72;37;6;2
"Kozje";373;235;56;5
"Kranj";5972;4572;927;179
"Kranjska Gora";642;380;55;9
"Križevci";403;297;44;11
"Krško";2777;2035;457;104
"Kungota";649;346;64;12
"Kuzma";204;121;14;7
"Laško";1579;988;205;44
"Lenart";919;629;99;24
"Lendava/Lendva";1466;690;84;22
"Litija";1624;1290;233;58
"Ljubljana";31735;20433;3374;569
"Ljubno";293;221;47;11
"Ljutomer";1438;899;167;34
"Log - Dragomer";406;300;69;13
"Logatec";1252;1077;350;106
"Loška dolina";368;293;80;17
"Loški Potok";182;149;58;16
"Lovrenc na Pohorju";399;220;29;8
"Luèe";185;110;33;10
"Lukovica";497;476;151;38
"Majšperk";499;296;59;13
"Makole";247;142;39;6
"Maribor";14051;6511;815;217
"Markovci";463;362;57;8
"Medvode";1653;1340;270;68
"Mengeš";796;643;148;20
"Metlika";857;695;149;33
"Mežica";461;228;29;2
"Miklavž na Dravskem polju";844;461;52;10
"Miren - Kostanjevica";635;404;57;4
"Mirna Peè";230;252;88;11
"Mislinja";537;376;74;15
"Mokronog - Trebelno";285;248;69;18
"Moravèe";429;460;152;48
"Moravske Toplice";757;476;73;14
"Mozirje";421;315;77;28
"Murska Sobota";2678;1395;165;38
"Muta";398;280;50;7
"Naklo";544;460;111;34
"Nazarje";299;212;50;5
"Nova Gorica";3811;2532;368;53
"Novo mesto";3795;3084;637;137
"Odranci";183;160;33;7
"Oplotnica";464;329;73;14
"Ormož";1564;941;158;41
"Osilnica";44;18;4;1
"Pesnica";925;556;97;25
"Piran/Pirano";2236;1178;136;29
"Pivka";660;513;109;18
"Podèetrtek";355;266;62;12
"Podlehnik";234;142;32;5
"Podvelka";297;162;33;5
"Poljèane";531;334;52;10
"Polzela";694;491;78;18
"Postojna";1747;1274;234;41
"Prebold";593;388;54;6
"Preddvor";349;269;79;30
"Prevalje";734;453;83;15
"Ptuj";3077;1704;239;30
"Puconci";836;456;64;16
"Raèe - Fram";864;495;67;12
"Radeèe";554;304;61;8
"Radenci";653;391;50;13
"Radlje ob Dravi";731;476;72;13
"Radovljica";2169;1561;283;59
"Ravne na Koroškem";1390;810;112;16
"Razkrižje";156;117;21;6
"Reèica ob Savinji";236;200;41;10
"Renèe - Vogrsko";531;357;44;5
"Ribnica";836;831;250;46
"Ribnica na  Pohorju";134;72;17;5
"Rogaška Slatina";1217;922;155;36
"Rogašovci";451;256;34;8
"Rogatec";368;229;44;9
"Ruše";981;514;48;13
"Selnica ob Dravi";605;338;43;11
"Semiè";425;306;56;19
"Sevnica";1914;1314;302;72
"Sežana";1466;1018;126;11
"Slovenj Gradec";1934;1333;222;38
"Slovenska Bistrica";2992;2058;375;52
"Slovenske Konjice";1646;1200;233;57
"Sodražica";198;181;59;8
"Solèava";58;37;8;4
"Središèe ob Dravi";251;160;33;1
"Starše";538;333;46;8
"Straža";398;357;64;14
"Sveta Ana";256;203;43;5
"Sveta Trojica v Slov. goricah";207;203;42;7
"Sveti Andraž v Slov. goricah";133;113;25;6
"Sveti Jurij";329;229;52;17
"Sveti Jurij v Slov. goricah";231;179;47;7
"Sveti Tomaž";230;180;36;13
"Šalovci";237;116;9;3
"Šempeter - Vrtojba";823;491;59;12
"Šenèur";807;821;197;36
"Šentilj";1127;644;79;19
"Šentjernej";677;589;184;35
"Šentjur";2175;1610;309;47
"Šentrupert";228;192;61;18
"Škocjan";302;271;90;26
"Škofja Loka";2168;1907;554;168
"Škofljica";917;824;170;41
"Šmarje pri Jelšah";1067;863;176;41
"Šmarješke Toplice";328;248;86;12
"Šmartno ob Paki";367;258;59;8
"Šmartno pri Litiji";528;389;158;47
"Šoštanj";955;695;131;31
"Štore";494;296;58;8
"Tabor";184;128;33;5
"Tišina";547;349;48;11
"Tolmin";1226;895;206;40
"Trbovlje";2147;1140;118;23
"Trebnje";1442;1143;351;77
"Trnovska vas";137;119;28;9
"Trzin";422;355;60;12
"Tržiè";1732;1266;232;42
"Turnišèe";407;296;64;10
"Velenje";3981;2607;345;57
"Velika Polana";172;123;23;2
"Velike Lašèe";437;349;96;23
"Veržej";162;99;17;2
"Videm";673;463;75;21
"Vipava";490;429;162;43
"Vitanje";240;185;55;14
"Vodice";432;436;115;28
"Vojnik";943;650;159;41
"Vransko";260;228;55;13
"Vrhnika";1756;1413;309;69
"Vuzenica";329;185;46;7
"Zagorje ob Savi";1971;1359;266;50
"Zavrè";172;120;20;7
"Zreèe";710;548;111;18
"Žalec";2572;1709;279;48
"Železniki";580;559;235;84
"Žetale";147;107;23;10
"Žiri";431;444;135;42
"Žirovnica";480;399;59;16
"Žužemberk";398;392;137;30
